评论,正向指数,负向指数,情感分类
"('woc我吐了豫章书院的人怎么还不死还不死。',)","('0.036%',)","('99.964%',)",负向
"('up加油',)","('99.986%',)","('0.014%',)",负向
"('我现在才知道这事[笑哭][笑哭][笑哭]',)","('10.607%',)","('89.393%',)",负向
"('这玩意又降下去了',)","('0.004%',)","('99.996%',)",负向
"('支持你！我还有个问题···出现了这种事，法律还是我们的保护伞吗？',)","('39.7%',)","('60.3%',)",负向
"('一切都会好的。',)","('90.159%',)","('9.842%',)",负向
"('不知道今年315怎么样？',)","('1.886%',)","('98.114%',)",负向
"('中国人总是被他们最勇敢的人照顾的很好.向坐车致敬[拥抱][拥抱][保佑][保佑]',)","('99.995%',)","('0.005%',)",负向
"('我能做什么呢，我什么都做不了这一刻我心焦，心痛，但我什么都帮不了你看了你们的经历，了解得再多，都无法切身体会你们的痛楚，但我又能做什么呢放下手机，我有自己的任务，有自己要承担的责任，我或许无法停下脚步做点什么我很无奈，或许对社会现实的无奈，我们都有自己的事务，有自己的学业，自己的工作，无法有时间精力像你那样付出许多，我什么都做不到，什么都帮不了，我很难过但我又不愿什么都不做，看到满屏的加油时，我想，这又有什么用呢，什么实际的帮忙都做不到，微乎其微，甚至只是一时间的激素在起作用，但是，我想去我最难过的时候，每一个陪伴我的人，每一个加油的词汇仿佛都能点亮我的心，想了很久，我决定还是留下一个加油给你，给你们。至少，在你们坚持不下去的时候，来看看我们，或许那一刻我们不在你们身边，但是我们的心，一直留在你们身后，做你们的避风港，做你们坚强的后盾，做你们的家，要是累了，就回来看看吧，我们一直在',)","('26.175%',)","('73.825%',)",负向
"('正义迟到的太惨了',)","('1.135%',)","('98.865%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油[热词系列_我哭了][热词系列_三连]',)","('99.969%',)","('0.031%',)",负向
"('地狱空荡荡，魔鬼在人间。',)","('58.888%',)","('41.112%',)",负向
"('豫章书院的背后是豫章罗氏，他们背后有靠山',)","('77.137%',)","('22.863%',)",负向
"('我小时候好像也有网瘾...感谢父母的不送之恩[doge]',)","('87.397%',)","('12.603%',)",负向
"('铁骨柔情伐奸恶，烈酒只敬真侠客。路人甲，敬UP一杯。',)","('0.901%',)","('99.099%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('Up主加油，只要您说的是真实的，这世界上的人们都会来支持你们，社会也是因为你们而变得如此美好！！！',)","('99.999%',)","('0.001%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('谢谢',)","('99.797%',)","('0.203%',)",负向
"('简直无法无天',)","('0.112%',)","('99.888%',)",负向
"('加油！！我们挺你！！',)","('99.989%',)","('0.011%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油2020.3.15',)","('99.435%',)","('0.565%',)",负向
"('热度上去啊。[加油]',)","('99.406%',)","('0.594%',)",负向
"('吃瓜[吃瓜]b站锤人在松鼠打不过仓鼠之后毫无可信度。',)","('1.158%',)","('98.842%',)",负向
"('为啥要上这学校呢，公立的不香吗？',)","('1.305%',)","('98.695%',)",负向
"('果然权力永远是实现自我欺骗的现实世界的任何事情的唯一手段！真理是只有绝对执行力才能公之于众的，每个人都有一份隐藏在内心深处的黑暗，而唤醒它的方法便是把扭曲的事实代替现实的真理。抽象说是利益的斗争而决定的社会现状，形象的便是“上头”的人可以在“贼喊抓贼”！',)","('0.058%',)","('99.942%',)",负向
"('中国形式主义让人不敢说真话',)","('0.585%',)","('99.415%',)",负向
"('不要一杆子打死人有些家长知道自己的孩子在学校的遭遇都会愤怒但他们板不倒。我是南昌人知道那个学院是市，长，的儿子开的黑白通吃',)","('8.692%',)","('91.308%',)",负向
"('正义不一定每次都赢，但正义永不停歇，直到成功！',)","('98.944%',)","('1.056%',)",负向
"('哪怕你给无良明星洗白只要言辞得当我都能理解，给这个屠夫洗白真的没有人性，为点小钱能做出这种事的人我觉得真的不该被原谅。',)","('0.001%',)","('99.999%',)",负向
"('我希望可以成为一个您这样的人',)","('43.225%',)","('56.775%',)",负向
"('顶',)","('99.913%',)","('0.088%',)",负向
"('现在怎样了',)","('5.745%',)","('94.255%',)",负向
"('不要让热血冷缺',)","('16.803%',)","('83.197%',)",负向
"('希望所有的善良都能被保护',)","('96.484%',)","('3.517%',)",负向
"('正义一定不能缺席！！！',)","('66.792%',)","('33.208%',)",负向
"('才发现',)","('6.659%',)","('93.341%',)",负向
"('站在万丈光芒之下，才能让阴影无从追赶。',)","('13.471%',)","('86.529%',)",负向
"('今天尝试给你四个币',)","('47.095%',)","('52.905%',)",负向
"('2020.03.18',)","('97.575%',)","('2.425%',)",负向
"('推荐韩剧：救救我',)","('98.094%',)","('1.906%',)",负向
"('这玩意又降下去了',)","('0.004%',)","('99.996%',)",负向
"('支持你！我还有个问题···出现了这种事，法律还是我们的保护伞吗？',)","('39.7%',)","('60.3%',)",负向
"('一切都会好的。',)","('90.159%',)","('9.842%',)",负向
"('不知道今年315怎么样？',)","('1.886%',)","('98.114%',)",负向
"('中国人总是被他们最勇敢的人照顾的很好.向坐车致敬[拥抱][拥抱][保佑][保佑]',)","('99.995%',)","('0.005%',)",负向
"('我能做什么呢，我什么都做不了这一刻我心焦，心痛，但我什么都帮不了你看了你们的经历，了解得再多，都无法切身体会你们的痛楚，但我又能做什么呢放下手机，我有自己的任务，有自己要承担的责任，我或许无法停下脚步做点什么我很无奈，或许对社会现实的无奈，我们都有自己的事务，有自己的学业，自己的工作，无法有时间精力像你那样付出许多，我什么都做不到，什么都帮不了，我很难过但我又不愿什么都不做，看到满屏的加油时，我想，这又有什么用呢，什么实际的帮忙都做不到，微乎其微，甚至只是一时间的激素在起作用，但是，我想去我最难过的时候，每一个陪伴我的人，每一个加油的词汇仿佛都能点亮我的心，想了很久，我决定还是留下一个加油给你，给你们。至少，在你们坚持不下去的时候，来看看我们，或许那一刻我们不在你们身边，但是我们的心，一直留在你们身后，做你们的避风港，做你们坚强的后盾，做你们的家，要是累了，就回来看看吧，我们一直在',)","('26.175%',)","('73.825%',)",负向
"('正义迟到的太惨了',)","('1.135%',)","('98.865%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('Up主加油，只要您说的是真实的，这世界上的人们都会来支持你们，社会也是因为你们而变得如此美好！！！',)","('99.999%',)","('0.001%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('今天又出现了首页',)","('24.685%',)","('75.315%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('看完了，感触真大……阿婆主一定一定要保护好自己啊……！！！！！！！！！！！！！！',)","('99.286%',)","('0.714%',)",负向
"('摸摸头，你一定很辛苦吧，记得照顾好自己，累了就休息。勇士也是血肉之躯，保护他人的前提是保护好自己哦[拥抱]',)","('99.987%',)","('0.013%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('这不是黑社会吗 气人',)","('0.018%',)","('99.982%',)",负向
"('打黑除恶最近停了下来，他们又出来伸胳膊漏腿了，2019年的打黑除恶不能停，2020还要继续。[2020]',)","('5.821%',)","('94.179%',)",负向
"('我在复读学校，开学的时候老师就再全班人的面一脚把同学踢出了门外，然后因为同学上课说话，被扇脸到脸肿，也有被堵在角落里被老师踢到哭的同学.也有的同学半条腿都紫了，还有被扇饼子扇到嘴角出血.但是是封闭学校，我们也什么都不能说..',)","('10.337%',)","('89.663%',)",负向
"('统一回复纠正一下（较较真，别介意，想让更多的人看到，大家能不能帮帮我 ）1.南昌大学没有以“豫章”起过名。前身啥的可以参见百度百科，分分合合太多了。。 但都没有豫章字样2.南昌豫章师范学院 和他的附属小中学 与 无菌包豫章书院 没有关系，这也是一所正经本科。南昌以前叫豫章，所以以豫章为名很正常。3.地图软件搜索到的“豫章书院”是一个名胜古迹（没名气的小建筑景点 ）在南昌老城的中心（现东湖区 ），是以前古人教书的地方，从某种意义上说，他才是真正的豫章书院，南昌人心里的豫章书院，真正的书院。 4.无菌包的豫章书院在江氨一带，现已关门，也就是一些新闻里说的南昌公交215路终点氨厂站附近。4.现网传新开的新学校“龙悔学校”在新建区（原新建县 ，后改区，是一个地方）工业大道，其实是豫章书院的前身。 5.网传“堂文渊”学校， 根据两查软件，在南昌青山湖区高新开发区紫阳大道，baidu可查到具体地址，但是本人实际去了没发现有学校的影子，这里应该只是一个注册地址，不是实际学校，真正存在、学校的实际位置目前网上没有消息#。 内心的愤慨我不多抒发了  ， 反正内心活动无数*号就对了。愿所有正义之士携手， 对抗这些沾满鲜血与罪恶的监狱。',)","('53.358%',)","('46.642%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('蝙蝠时代前来考古',)","('95.544%',)","('4.456%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('今天又出现了首页',)","('24.685%',)","('75.315%',)",负向
"('正义一定会到来的',)","('99.964%',)","('0.036%',)",负向
"('邪不压正',)","('70.612%',)","('29.388%',)",负向
"('然而没用',)","('3.199%',)","('96.801%',)",负向
"('吴军豹跟豫章书院有什么关系(只想了解一下，好骂他[阴险])',)","('1.331%',)","('98.669%',)",负向
"('校长',)","('82.665%',)","('17.335%',)",负向
"('借楼。大家注意了，用户名:白鸦此去te，UID:37104011，一个5级号。写了一个文章专栏“豫章书院背后不为人知的故事”（cv3887349）。乍一看以为是扒豫章书院黑暗内幕的，看了内容才真的是被恶心笑了，全程洗白豫章书院，把责任推给学生，推给为这件事发声的网友和up主。中心思想就是说学生其实都是活该的，说网友们只是为了蹭热度而作秀。评论区都有人指出来了，发文章的时候这个号没有收藏没有关注没有投币，就这么一个带节奏的文章。最搞笑的是被人指出来以后，没过多久就有收藏有点赞了，做贼心虚呢。话不多说，举报一波。大家擦亮眼睛啊！！！一定要注意认真辨认，不要被带偏了，不管别人说什么，认定一个理念，那就是要求处理豫章书院，要求处理无菌包！其他的争议都可以容后再议！',)","('0.008%',)","('99.992%',)",负向
"('我初中的老师也是这样，搞分化，逼着同学相互检举，如果你什么都不说的话就故意针对你，还用记号笔在同学脸上画画（很久都洗不掉的那种）有一次她把我们班一个女同学的脸掐出血了，我们班主任第一个反应是把这件事压下去！现在想想真的很害怕',)","('0.004%',)","('99.996%',)",负向
"('央视来了这豫章书院就完蛋了',)","('2.256%',)","('97.744%',)",负向
"('现在都没什么人了，悲哀',)","('0.881%',)","('99.119%',)",负向
"('加油！！！一点点光汇集最终照亮黑夜',)","('99.984%',)","('0.016%',)",负向
"('我眼泪都出来了，up主加油。豫章书院可能忘记这片土地叫什么名字，我相信我们会告诉他的，我相信亿万万同胞会告诉他的，我坚信正义也许会迟到，但绝不会缺席！但是，请容许我为死者默哀。我无能为力为他们做什么，但我会支持你们。会支持每一个为保护我们这些陌生人的你们，也许我们并不相识，但是你们还是义无反顾的曝光了事件，让我们知道真相。导致你们陷入危机，谢谢up主。如果天堂有进入条件，那肯定是你们！地狱，是属于豫章书院这类人的！[大哭][大哭]加油啊，一定要保护好自己，千万一定',)","('91.079%',)","('8.921%',)",负向
"('九年义务教育但凡有点水平也不至于让学生分不清对游戏的热爱和畸爱有什么区别',)","('5.972%',)","('94.028%',)",负向
"('温柔加油！',)","('99.992%',)","('0.008%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('我又来了',)","('99.137%',)","('0.863%',)",负向
"('加油加油',)","('99.993%',)","('0.007%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油[热词系列_我哭了][热词系列_三连]',)","('99.969%',)","('0.031%',)",负向
"('地狱空荡荡，魔鬼在人间。',)","('58.888%',)","('41.112%',)",负向
"('豫章书院的背后是豫章罗氏，他们背后有靠山',)","('77.137%',)","('22.863%',)",负向
"('我小时候好像也有网瘾...感谢父母的不送之恩[doge]',)","('87.397%',)","('12.603%',)",负向
"('铁骨柔情伐奸恶，烈酒只敬真侠客。路人甲，敬UP一杯。',)","('0.901%',)","('99.099%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('对不起，我来晚了，虽然我不能为你提供什么帮助，也对这事件起不了什么作用，但是，我可以在你背后支持你鸭，加油',)","('71.398%',)","('28.602%',)",负向
"('这个bgm是暹罗之恋里的，妈呀',)","('52.873%',)","('47.127%',)",负向
"('加油！up主。我知道自己的话很任性，但请你坚持住，即便无权无势又如何？我们仍然可以跟他们抗争，既然家长和社会帮不了我们，那我们就自己努力！我们会用行动证明我们是对的！加油！up主，你做了一件无数人都不敢做的伟大事迹！我们一起加油吧！',)","('99.373%',)","('0.627%',)",负向
"('支持温柔[抱拳][抱拳]',)","('99.999%',)","('0.001%',)",负向
"('不知道怎么才能帮助到你，已经给湖北省高级人民法院官方网站留言求助，希望能给你一点安慰',)","('0.27%',)","('99.73%',)",负向
"('豫章书院是江西的啊，为什么要在湖北那里留言',)","('29.025%',)","('70.975%',)",负向
"('加油，虽然我们没办法帮到什么，但是请不要放弃！',)","('99.763%',)","('0.237%',)",负向
"('无论父母是否知晓，都没做到父母的责任',)","('87.921%',)","('12.079%',)",负向
"('我相信正义终将会降临',)","('99.947%',)","('0.053%',)",负向
"('第一个 一键三连 毫不犹豫的送了出去，代表着尊重，支持',)","('99.996%',)","('0.004%',)",负向
"('加油！！',)","('99.992%',)","('0.008%',)",负向
"('英雄在权利面前是工具',)","('24.659%',)","('75.341%',)",负向
"('我看到封面进的，妹妹呢',)","('88.218%',)","('11.782%',)",负向
"('呵呵呵',)","('97.522%',)","('2.478%',)",负向
"('我之前给我爸看了一个关于豫章书院的视频，就是有什么体罚啊洗脑啊之类的，结果他居然说他也想送我进去，我？？？？？？？我说这里面都不把学生当人看，那些父母是因为不肯承认自己的失败才把学生送进去，他说网瘾什么的没办法啊！要他他也送，知道了他也送……他之前还特别喜欢看关于虎爸虎妈之类的节目，说如果他能把我往死里打，我说不定就成才了。我？？？？？？？？',)","('0.026%',)","('99.974%',)",负向
"('回复 @是九牧啊 :就是打着爱的名号做这些事……正常的时候还是正常的……',)","('33.229%',)","('66.771%',)",负向
"('（感觉说得有歧义）但是这个父亲确实不能理解',)","('1.151%',)","('98.849%',)",负向
"('不能理解，如果父亲真的是这么想的话。早点长大保护自己吧。',)","('0.259%',)","('99.741%',)",负向
"('有些孩子是真的孩子 有些父母真的不是父母 听话 这两个字太可怕了',)","('0.767%',)","('99.233%',)",负向
"('正义可能会迟到，但永远不会缺席，可迟到的正义还是正义吗，无辜枉死的灵魂会安息吗。我们都自以为站在正义的一方，可所谓真相之下掩藏的还有什么肮脏呢，就好像我们知道的永远只是别人希望让我们看到的，这个社会乃至全世界，这样的事情还有很多很多，每天都有人蒙受不白之冤，有人在坚持正义的道路上迷失方向，也有视正义为真香的人最后妥协。可我们，要时刻谨记，愿中国的青年都能摆脱冷气，只向上走，能做事的做事，能发声的发声，有一分热发一分光，便如同萤火一般，也能在黑暗中发出光来',)","('88.17%',)","('11.83%',)",负向
"('家长因为自己教育不当，把孩子送到所谓的一个能教出好孩子的学校，到最后，只有孩子离开了，才明白豫章书院的残暴',)","('0.107%',)","('99.892%',)",负向
"('还记得暴走大事件最后一句话吗?“荆轲刺秦王”即是这条路最后是死也要义无反顾的走下去。向暴漫和王尼玛致敬！！！',)","('61.639%',)","('38.361%',)",负向
"('woc我吐了豫章书院的人怎么还不死还不死。',)","('0.036%',)","('99.964%',)",负向
"('up加油',)","('99.986%',)","('0.014%',)",负向
"('我现在才知道这事[笑哭][笑哭][笑哭]',)","('10.607%',)","('89.393%',)",负向
"('谢谢',)","('99.797%',)","('0.203%',)",负向
"('简直无法无天',)","('0.112%',)","('99.888%',)",负向
"('加油！！我们挺你！！',)","('99.989%',)","('0.011%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('所以这件事呢，果然热度没了又被压下去了',)","('0.731%',)","('99.269%',)",负向
"('打卡，加油',)","('99.996%',)","('0.004%',)",负向
"('类似豫章书院这样的机构的存在，让坏人能“名正言顺”的做坏事，致使更多的受害者出现，我认为这种机构肯定有背后力量（政府等）。幸好我父母是正常人，不会相信这些机构，也幸好我自己比较听话。支持up主，让更多的人关注类似事件，不要再有豫章书院、红黄蓝幼儿园等的出现！加油 up主！',)","('2.284%',)","('97.716%',)",负向
"('我会一直保持热度',)","('99.576%',)","('0.424%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('豫章书院，这个世界的黑暗太可怕了，太恶心！！！！',)","('0.047%',)","('99.953%',)",负向
"('真的不是我喷现在的警察有多少是办事了？看钱？看权？',)","('0.017%',)","('99.983%',)",负向
"('心里莫名想笑有很悲哀[无语]',)","('0.035%',)","('99.965%',)",负向
"('这个视频已经过去了快将近半年，我不知道还能不能问你，我们做些什么可以帮你吗？',)","('1.188%',)","('98.812%',)",负向
"('看他的动态，里面有举报的网址',)","('4.865%',)","('95.135%',)",负向
"('加油啊',)","('99.976%',)","('0.024%',)",负向
"('啊啊啊啊',)","('32.436%',)","('67.564%',)",负向
"('加油，我支持你',)","('99.999%',)","('0.001%',)",负向
"('不管怎么样，加油！',)","('99.98%',)","('0.02%',)",负向
"('好想保护你，那么请告诉我，到底用什么方法去守护你呢！',)","('90.632%',)","('9.369%',)",负向
"('回复 @噬魂皮卡丘 :你听我说！我想保护他，但是网络之中没有东西去阻挡！用什么办法在网络之中来帮助他！但是没有方法！难道就鼓励他吗？没有实际行动的话！该怎么办呢！',)","('1.738%',)","('98.263%',)",负向
"('[囧]',)","('11.574%',)","('88.426%',)",负向
"('加油！！！',)","('99.988%',)","('0.012%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('保护',)","('94.951%',)","('5.049%',)",负向
"('很抱歉这么晚才来',)","('8.859%',)","('91.141%',)",负向
"('加油up主',)","('99.919%',)","('0.081%',)",负向
"('我现实中是个碌碌无为的人，但这一刻我要做我力所能及的事三连温柔加油！！！！',)","('98.124%',)","('1.876%',)",负向
"('想想父母为什么会送你到这类学校，因为他们管不住你了，打你父母心痛，不打叛逆（我叛逆期还跟父亲动过手），怪教育，你认为你没问题？父母那老一辈的人思想能养大你就不错了。这类学校有问题，你也要想想自己的问题。看到一些人把所有责任都推给父母……',)","('9.996%',)","('90.004%',)",负向
"('我支持你的想法！',)","('99.873%',)","('0.127%',)",负向
"('有的孩子确实有问题  但大部分问题是父母',)","('4.386%',)","('95.614%',)",负向
"('很有感染力声音好听 真假不关注 我想说一下 我的感受和up的视频无关。社会在越来越稳定了10年前北京能看见混混收保护费现在没这么猖狂起码普通人遇不见 我很庆幸自己很幸运没遇见那么多悲惨的事情 老师都很好 很多时候觉得不公只是你不够努力从小就不够努力很多都怪不了别人的。极端点他死我也死（这不对）就想北京有12345实名举报没错少了虚假的骚扰让学生也不敢举报实名啊普通家庭举报了被报复啊之后的路就很难了没人学校企业喜欢一个爱惹事闹事的人他们喜欢听话逆来顺受的人 想摆脱好好学习是唯一出路自强就好 好好学习学会做人才对。当去了一个企业加班没钱企业有各种问题你举报么敢么我不敢 当你遇到各种各样的事情不好举报太难了。我前言不搭后语了，真的你我很佩服但是家里孩子都被被逼自杀了如果我是家长找到最关键的主谋从上杀到下半辈子了孩子没了还怕失去什么呢法律要证据没办法就靠自己 拆迁钉子户断水断电泼垃圾混混砸玻璃警察不管的恩没监控啊你说谁顾的呢！ 好好学习唯一出路 我比不上你们，没遇到你们那种精力我理解不了 。好好活着孝敬父母是我能做的了 自己不努力就凑合活着吧。',)","('25.226%',)","('74.774%',)",负向
"('与其把孩子送学校去，不如开个学校教教成年人怎么教育小孩。孬树能长出好果子？先看看父母有啥毛病再去说小孩，自己做不到就先去要求孩子。搞笑。',)","('0.059%',)","('99.941%',)",负向
"('我尊重您的努力，不过，看过原视频的人都知道那期暴走大事件并没有侮辱英烈，了解的人都知道视频是被恶意剪辑被人搞了，真的不希望大家因此而诋毁大事件。',)","('8.77%',)","('91.23%',)",负向
"('恶意剪辑被人搞了?暴走自己剪辑后在暴走头条官方号发布的，还在那洗地呢？看看国家媒体报道的全过程。看看法院判决结果是不是暴走就是侮辱英烈败诉了，别在那洗地了行吗？',)","('0.021%',)","('99.979%',)",负向
"('封面女生是谁，好漂亮啊，求告知',)","('99.487%',)","('0.513%',)",负向
"('有意义么？？  没有杨永信还有李永信。没有豫章书院  还有豫章学校。      如果真的想改变，从深层分析，那就是怎么改变愚民！  那么问题又来了  既然是这些愚民把孩子送进学校  满足他们那可怜的底层控制欲。  这些愚民有什么好可怜的？？？？  死不足惜罢了    希望作者看到，很多事并不是我们这点怜悯心可以改变的，如果真的想改变  就不要只想着改变表面，  谢谢',)","('0.204%',)","('99.796%',)",负向
"('加油啊[保佑]',)","('99.985%',)","('0.015%',)",负向
"('2020我还在！加油！',)","('99.824%',)","('0.176%',)",负向
"('请一定要保护好自己',)","('60.375%',)","('39.625%',)",负向
"('微博上豫章书院的文章不能点赞和评论',)","('53.143%',)","('46.857%',)",负向
"('希望up关注一下课后网，无限宝，也很过分，当然没有豫章书院那么过分',)","('5.213%',)","('94.787%',)",负向
"('豫游皆汗漫章句作雅正书窗见远山院幽僧亦独 请为父老歌 去去割情恋 死生俱未停。',)","('8.029%',)","('91.971%',)",负向
"('暴漫[大哭][大哭][大哭]',)","('97.332%',)","('2.669%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('请一定要加油',)","('86.303%',)","('13.698%',)",负向
"('这种借着合同的诈骗，很难办。中国的诈骗量刑很难从动机出发。虽然你知道这是预谋好的，但是法律却很难给你做主。',)","('0.001%',)","('99.999%',)",负向
"('加油，加油，加油',)","('99.999%',)","('0.001%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('我又回来了热度下去了不知道事情怎么样了？',)","('38.95%',)","('61.05%',)",负向
"('温柔暂时还没打败吴军豹，志愿者们还没有收到迟到的正义，豫章书院和“豫章书院们”还在吃着人血馒头！【痛哭】请大家把豫章书院热度再搞上去！至少不要让他凉的这么快……也麻烦大家把视频推到首页，我看了看，最近的豫章书院视频也在19年十月份视频留存率最影响推荐，所以为了豫章书院的热度，可以开两倍速，视频很短，一定要看完。点赞投币收藏转发，争取把这个视频推上首页！前几天我给武汉捐款了百元大钞(大家原谅我个学生党省吃俭用才攒了这么多，有胜于无)，这次也请大家帮帮我和温柔，把豫章书院热度再涨涨吧！各种书院继续他们本来做的生意，还有越来越多的孩子在受苦……',)","('76.165%',)","('23.835%',)",负向
"('up加油加油加油  冲冲冲',)","('99.988%',)","('0.012%',)",负向
"('走之前想干件好事，有吴军豹的住址之类的吗',)","('86.965%',)","('13.035%',)",负向
"('那你就坚持活到吴军豹地址公布的时候吧',)","('8.182%',)","('91.818%',)",负向
"('你有什么事就说出来[爱心]',)","('39.9%',)","('60.1%',)",负向
"('要想信有希望啊',)","('17.468%',)","('82.532%',)",负向
"('加油加油加油加油',)","('99.994%',)","('0.006%',)",负向
"('所以这件事呢，果然热度没了又被压下去了',)","('0.731%',)","('99.269%',)",负向
"('打卡，加油',)","('99.996%',)","('0.004%',)",负向
"('我们要结果！我们要光明！',)","('8.038%',)","('91.962%',)",负向
"('我又回来了！',)","('99.712%',)","('0.288%',)",负向
"('我是个新人up，这个是我做的无菌包的视频希望大家来捧场BV1Pp4y1y7x8',)","('89.341%',)","('10.659%',)",负向
"('如果这个玩意儿重开。这个吴军豹就需要面对中国无数的键盘。你几百万粉丝狂轰滥炸。以及b站一流鬼畜视频。无限接近死亡。',)","('0.601%',)","('99.399%',)",负向
"('相信我，他值得',)","('99.993%',)","('0.007%',)",负向
"('魏大佐恰烂钱',)","('0.172%',)","('99.828%',)",负向
"('考古，魏哥NB！魏哥加油！',)","('99.046%',)","('0.954%',)",负向
"('如果老番茄能宣传up的视频......',)","('0.321%',)","('99.679%',)",负向
"('这些大up主很知名的，他们不敢轻易这么做，万一真被人报复就麻烦了[疼][疼]',)","('3.875%',)","('96.124%',)",负向
"('我父母说，现在孩子就该这样被教育一顿才知道咋回事。',)","('0.067%',)","('99.933%',)",负向
"('你的家长根本不知道孩子，子女应该如何与他们相处',)","('0.085%',)","('99.915%',)",负向
"('回复 @潇萧c :虽然只是半开玩笑，不过我们意见一不统一，或者统一但没达到他的地步。就开始说我犟嘴，顶嘴，就应该送戒网所',)","('7.101%',)","('92.899%',)",负向
"('我可能会被举报，但是我还是想说一句，为什么大家都没有说被送进去的学生是什么样的呢……何况是家长自愿送进去的，而且是什么样的人才会被送进这种自闭学院，我早想知道（狗头保命）',)","('0.022%',)","('99.978%',)",负向
"('他们广告太好了，说什么都能治像网瘾，暴力，同性恋，还有没问题的孩子，家长和孩子不知情以为是好学校..... 你多看看其他相关视频就了解了',)","('2.562%',)","('97.438%',)",负向
"('何况家长自愿这句话[热词系列_我裂开了]我爸妈现在还后悔把我送进去',)","('0.328%',)","('99.672%',)",负向
"('我本人就进过一次这种学校……里面除了部分人都有苦衷比如我在班上被欺凌、班主任被爸打过一巴掌放任自流被诬陷父母不相信、上课心情不好加上年轻报复心理一直睡觉然后就进去了「真的真的别让下一代进这种学校了',)","('0.125%',)","('99.874%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('保护',)","('94.951%',)","('5.049%',)",负向
"('很抱歉这么晚才来',)","('8.859%',)","('91.141%',)",负向
"('加油up主',)","('99.919%',)","('0.081%',)",负向
"('为子沐同学祈祷，为你们祈祷，上帝保佑你们，神与你们同在',)","('15.859%',)","('84.141%',)",负向
"('有的法定监护人不论出于什么原因，对孩子只有一个要求——“别惹事烦他们”——他们要的只是结果，不论这个结果是出于孩子自己成熟懂事了，还是被压迫得不得不“懂事”了。能有网瘾等的问题少年，其父母的教养方式多少都有些问题。',)","('0.06%',)","('99.94%',)",负向
"('憨批水军，请来找我，手机号对骂，地址约架，任你选，看我砍不砍你吧。',)","('0.027%',)","('99.973%',)",负向
"('黑夜给了我黑色的眼睛，而我却用它来寻找光明！——顾城',)","('94.49%',)","('5.51%',)",负向
"('支持up主！[加油]',)","('99.997%',)","('0.003%',)",负向
"('加油！  我可以用键盘为你保驾护航！',)","('99.998%',)","('0.002%',)",负向
"('谢谢你，谢谢你可爱的志愿者们，加油',)","('99.999%',)","('0.001%',)",负向
"('加油[加油][加油]',)","('99.999%',)","('0.001%',)",负向
"('可以报警吗',)","('1.444%',)","('98.556%',)",负向
"('我们该怎样帮助你？',)","('18.15%',)","('81.85%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('正义可能会迟到，但永远不会缺席，可是有些人等不起，因为他们不需要迟到的正义',)","('98.827%',)","('1.173%',)",负向
"('加油加油！我会支持你的！',)","('99.999%',)","('0.001%',)",负向
"('文人傲骨，希望事情尽快解决',)","('79.802%',)","('20.198%',)",负向
"('┏━━━━━━━┓ ┃███████┃┃██┏━┓██┃┃██┃奠┃██┃┃██┣━┫██┃┃██┃吴┃██┃ ╭┃██┃军┃██┃ ╭╯┃██┃豹┃██┃ ╭╯ ╭╯ ╭┃██┃之┃██┃╭╯ | ╭╯┃██┃墓┃██┃\\ | /┃██┗━┛██┃ \\ | /┃███████┃ \\ | /┃███████┃ww\\ ww | ww/www┻━━━━━━━┻━━\\━|━/━━━━大家吐口痰再走吧[点赞]',)","('99.958%',)","('0.042%',)",负向
"('浪费土地',)","('0.026%',)","('99.974%',)",负向
"('复制的',)","('95.693%',)","('4.307%',)",负向
"('平时公号私用的那么多，现在大家疯狂@怎么也没见有一个上热评？？？？',)","('5.63%',)","('94.37%',)",负向
